CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
828514_351,2,2005-02-01,WOTH,V039945417783,,,East Sussex,2017
671555_351,2,2012-04-01,WBRI,W099960156274,,,East Sussex,2017
580572_351,1,2005-06-01,BCRB,E029530502852,,,East Sussex,2017
270142_351,2,2003-07-01,MWBC,Q015830843138,,,East Sussex,2017
18154_351,2,2006-08-01,CHNE,H005922049773,,,East Sussex,2017
33199_351,1,2011-12-01,WIRT,I078448881465,,,East Sussex,2017
324376_351,1,2007-10-01,MWBA,S077500406942,,,East Sussex,2017
995774_351,2,2003-10-01,CHNE,E015807423031,,,East Sussex,2017
770074_351,2,2006-02-01,AOTH,V037830225631,,,East Sussex,2017
661946_351,1,2006-09-01,WIRI,G083882398217,,,East Sussex,2017
608105_351,1,2005-04-01,MWBC,H044503137480,,,East Sussex,2017
416086_351,2,2008-02-01,OOTH,W093497526342,,,East Sussex,2017
819354_351,1,2003-10-01,WBRI,B031206401432,,,East Sussex,2017
678389_351,2,2014-02-01,NOBT,U024402941309,,,East Sussex,2017
882972_351,1,2008-03-01,WIRI,S068349985557,,,East Sussex,2017
134395_351,1,2010-08-01,BOTH,P080987739534,,,East Sussex,2017
471816_351,1,2004-06-01,AIND,W043776352337,,,East Sussex,2017
651357_351,1,2008-07-01,WIRI,H049632630872,,,East Sussex,2017
476405_351,1,2012-01-01,AOTH,Q047280145233,,,East Sussex,2017
736639_351,1,2011-12-01,CHNE,V088270795350,,,East Sussex,2017
276947_351,2,2010-07-01,REFU,P096946103715,,,East Sussex,2017
248876_351,1,2006-08-01,APKN,P044237646234,,,East Sussex,2017
965158_351,2,2002-12-01,WOTH,L070554271528,,,East Sussex,2017
168425_351,2,2009-12-01,OOTH,C047019592347,,,East Sussex,2017
650136_351,1,2007-07-01,WIRT,P095039144246,,,East Sussex,2017
153938_351,2,2009-03-01,WIRT,U081774064129,,,East Sussex,2017
130619_351,1,2002-05-01,REFU,H052290107896,,,East Sussex,2017
516908_351,2,2012-09-01,MWBA,L060845478209,,,East Sussex,2017
358044_351,1,2007-10-01,WIRT,K074524904392,,,East Sussex,2017
85005_351,1,2012-09-01,WIRI,Q032632385529,,,East Sussex,2017
995657_351,2,2002-04-01,MWBC,F070332017799,,,East Sussex,2017
211719_351,2,2001-09-01,WBRI,Z095298402725,,,East Sussex,2017
566158_351,2,2005-02-01,BAFR,G087607177940,,,East Sussex,2017
799808_351,2,2005-08-01,BCRB,Q085498964223,,,East Sussex,2017
65558_351,2,2013-06-01,WIRT,S032832838039,,,East Sussex,2017
802696_351,1,2006-06-01,WROM,Z092313134768,,,East Sussex,2017
820068_351,2,2013-09-01,MWBA,U041295423395,,,East Sussex,2017
599864_351,2,2004-08-01,AIND,Z052949328761,,,East Sussex,2017
269322_351,1,2009-06-01,REFU,H073740856022,,,East Sussex,2017
44709_351,2,2009-03-01,NOBT,M013445748113,,,East Sussex,2017
472295_351,1,2001-05-01,WROM,U062600043609,,,East Sussex,2017
330776_351,1,2014-12-01,WOTH,D047637381377,,,East Sussex,2017
165370_351,2,2004-08-01,BAFR,D099134846479,,,East Sussex,2017
901770_351,1,2010-01-01,ABAN,Y073307115132,,,East Sussex,2017
311416_351,1,2003-12-01,NOBT,H097218946757,,,East Sussex,2017
402325_351,1,2012-05-01,AOTH,X051554698384,,,East Sussex,2017
308262_351,1,2002-10-01,MWBC,E092175329392,,,East Sussex,2017
258807_351,1,2005-06-01,WOTH,V046111625129,,,East Sussex,2017
920950_351,2,2006-06-01,WOTH,Y047630699310,,,East Sussex,2017
664333_351,2,2005-06-01,BOTH,M043944308307,,,East Sussex,2017
105611_351,1,2009-04-01,MWBC,X055540869112,,,East Sussex,2017
102726_351,2,2004-01-01,CHNE,N064190467910,,,East Sussex,2017
530456_351,1,2009-06-01,WIRT,W064673322931,,,East Sussex,2017
933578_351,1,2009-10-01,BCRB,F019692163369,,,East Sussex,2017
55540_351,1,2003-08-01,MWAS,X059693385736,,,East Sussex,2017
876395_351,2,2009-09-01,BAFR,N036463339689,,,East Sussex,2017
830966_351,1,2009-11-01,CHNE,B007486269742,,,East Sussex,2017
231526_351,2,2012-05-01,WIRT,U098320543935,,,East Sussex,2017
127983_351,1,2003-10-01,NOBT,E019448259493,,,East Sussex,2017
143795_351,2,2014-02-01,AOTH,B087686026026,,,East Sussex,2017
818569_351,2,2005-02-01,MOTH,Z011310772977,,,East Sussex,2017
28310_351,2,2003-09-01,BOTH,D000566487869,,,East Sussex,2017
565797_351,1,2001-10-01,CHNE,G078390148545,,,East Sussex,2017
344044_351,1,2001-07-01,WIRT,T049978386793,,,East Sussex,2017
410296_351,1,2003-04-01,MWBC,J090100915505,,,East Sussex,2017
184098_351,2,2009-01-01,AOTH,Y033740809444,,,East Sussex,2017
589666_351,2,2005-04-01,NOBT,R011511186173,,,East Sussex,2017
393295_351,1,2005-03-01,BAFR,H015030268520,,,East Sussex,2017
79169_351,2,2009-12-01,MOTH,B086890705651,,,East Sussex,2017
649201_351,1,2005-04-01,AIND,R084816776605,,,East Sussex,2017
997498_351,2,2004-05-01,NOBT,B064331621973,,,East Sussex,2017
907400_351,2,2004-11-01,WBRI,C012141955811,1.0,2017-03-01,East Sussex,2017
169899_351,1,2003-11-01,ABAN,O069941785431,,,East Sussex,2017
349197_351,1,2003-01-01,APKN,J011307874555,,,East Sussex,2017
902429_351,1,2002-02-01,WIRI,V090651122362,,,East Sussex,2017
344732_351,1,2002-03-01,ABAN,F033388600400,,,East Sussex,2017
776976_351,1,2011-06-01,WBRI,S032354184056,,,East Sussex,2017
935227_351,2,2010-09-01,MOTH,N028074144305,,,East Sussex,2017
536539_351,2,2013-07-01,ABAN,X056500054432,,,East Sussex,2017
262299_351,1,2012-06-01,WOTH,L008596712916,,,East Sussex,2017
253438_351,1,2011-12-01,WOTH,C016400062107,,,East Sussex,2017
577605_351,1,2009-10-01,WOTH,O028787602617,,,East Sussex,2017
334873_351,1,2011-02-01,MOTH,B020568160383,,,East Sussex,2017
45869_351,2,2001-09-01,BCRB,I024053760584,,,East Sussex,2017
337182_351,2,2011-11-01,WROM,A083271712122,,,East Sussex,2017
399401_351,1,2009-07-01,WIRT,W027366145147,,,East Sussex,2017
476020_351,1,2006-11-01,CHNE,Q072446536341,,,East Sussex,2017
611785_351,1,2013-11-01,CHNE,C098188711560,,,East Sussex,2017
951501_351,1,2006-12-01,MOTH,Q036837971715,,,East Sussex,2017
898640_351,1,2003-09-01,MWBA,Q017257404766,,,East Sussex,2017
314621_351,1,2009-09-01,REFU,U067299617435,,,East Sussex,2017
537358_351,2,2003-04-01,WROM,D055076284449,,,East Sussex,2017
984298_351,1,2007-07-01,OOTH,R097756392537,,,East Sussex,2017
449945_351,2,2002-09-01,AIND,F057429446341,,,East Sussex,2017
20888_351,1,2012-01-01,BCRB,T068448207048,,,East Sussex,2017
121220_351,1,2013-01-01,NOBT,G024834599132,,,East Sussex,2017
191772_351,2,2010-10-01,OOTH,Q085358978472,,,East Sussex,2017
375530_351,2,2003-07-01,AIND,I057061516129,,,East Sussex,2017
933048_351,2,2006-02-01,CHNE,E024982229910,,,East Sussex,2017
910203_351,1,2009-08-01,WIRT,E041740317622,,,East Sussex,2017
628300_351,2,2005-05-01,AIND,S032202218524,,,East Sussex,2017
622944_351,1,2001-11-01,WROM,D073731390206,,,East Sussex,2017
24577_351,2,2003-08-01,MWBC,Z012889281151,,,East Sussex,2017
126379_351,2,2010-10-01,MWBC,M032590791136,,,East Sussex,2017
377540_351,1,2007-02-01,NOBT,G074664160953,,,East Sussex,2017
716674_351,2,2001-11-01,WOTH,G071422596241,,,East Sussex,2017
317845_351,2,2008-01-01,WOTH,G052563426301,,,East Sussex,2017
967679_351,1,2014-12-01,REFU,P054343871745,,,East Sussex,2017
738742_351,2,2002-12-01,WIRT,K087255856874,,,East Sussex,2017
825338_351,1,2001-07-01,WROM,F078377036758,,,East Sussex,2017
187656_351,1,2005-02-01,WOTH,B077334225775,,,East Sussex,2017
641619_351,1,2007-06-01,ABAN,U060439603477,,,East Sussex,2017
310254_351,1,2014-10-01,BOTH,X087469546807,,,East Sussex,2017
158615_351,2,2007-03-01,WROM,R036506892319,,,East Sussex,2017
618595_351,1,2002-08-01,BAFR,P052625818629,,,East Sussex,2017
153556_351,2,2008-07-01,AIND,X060319237390,,,East Sussex,2017
471305_351,2,2001-08-01,WOTH,T086252162273,,,East Sussex,2017
365965_351,2,2008-05-01,WIRT,J054283793842,,,East Sussex,2017
664432_351,1,2004-02-01,AIND,V086010132428,,,East Sussex,2017
862025_351,1,2006-02-01,NOBT,E027195344630,,,East Sussex,2017
318712_351,2,2011-10-01,OOTH,I011472241926,,,East Sussex,2017
561199_351,1,2005-11-01,WROM,E073951665126,,,East Sussex,2017
993960_351,2,2007-02-01,WROM,Q086422741211,,,East Sussex,2017
357915_351,2,2009-01-01,BAFR,T068686634509,,,East Sussex,2017
36836_351,2,2002-08-01,MWAS,B055721424320,,,East Sussex,2017
655863_351,2,2004-05-01,MWBC,J036432484595,,,East Sussex,2017
986748_351,1,2006-09-01,WBRI,M041686485947,,,East Sussex,2017
455748_351,1,2012-09-01,MWAS,E035065246726,,,East Sussex,2017
738449_351,1,2005-08-01,OOTH,T016014697134,,,East Sussex,2017
998777_351,1,2013-01-01,AOTH,O076284684827,,,East Sussex,2017
120116_351,2,2006-11-01,WROM,G046231063041,,,East Sussex,2017
520491_351,1,2003-11-01,MOTH,N074754043343,,,East Sussex,2017
891451_351,2,2008-08-01,NOBT,Y051321377540,,,East Sussex,2017
483733_351,2,2002-10-01,REFU,G015898779930,,,East Sussex,2017
786863_351,2,2007-07-01,WIRT,E040584102835,,,East Sussex,2017
688216_351,2,2002-01-01,APKN,P092373635790,,,East Sussex,2017
200879_351,1,2002-08-01,MOTH,H055453095254,,,East Sussex,2017
720500_351,2,2013-12-01,AIND,C005282014947,,,East Sussex,2017
306785_351,2,2004-01-01,WIRI,C012724973687,,,East Sussex,2017
758165_351,1,2001-11-01,WOTH,J027424043660,,,East Sussex,2017
327306_351,1,2001-12-01,ABAN,Y099016697679,,,East Sussex,2017
323053_351,1,2001-09-01,OOTH,Q064138661621,,,East Sussex,2017
891411_351,2,2014-01-01,NOBT,V087698895285,,,East Sussex,2017
94945_351,1,2006-01-01,APKN,N030727312952,,,East Sussex,2017
950521_351,2,2005-09-01,CHNE,D058057936054,,,East Sussex,2017
147020_351,2,2002-06-01,AOTH,U009841200098,,,East Sussex,2017
745730_351,1,2010-07-01,WIRT,E013452486494,,,East Sussex,2017
410089_351,2,2010-09-01,MWBA,Y078632200487,,,East Sussex,2017
123967_351,1,2004-02-01,CHNE,B047144481924,,,East Sussex,2017
497432_351,2,2008-10-01,OOTH,K082007380274,,,East Sussex,2017
611314_351,1,2006-05-01,BCRB,P009288778724,,,East Sussex,2017
569435_351,1,2003-11-01,CHNE,Z099584865461,,,East Sussex,2017
25729_351,1,2012-12-01,CHNE,H093394092675,,,East Sussex,2017
608146_351,2,2010-10-01,AOTH,B042999805585,,,East Sussex,2017
780854_351,2,2008-01-01,MWBA,V091166788406,,,East Sussex,2017
539041_351,1,2003-03-01,MWBC,D027745404647,,,East Sussex,2017
35480_351,2,2001-10-01,WBRI,H026523378796,,,East Sussex,2017
163681_351,1,2007-12-01,BCRB,P028887911141,,,East Sussex,2017
268417_351,1,2009-02-01,CHNE,O047408890320,,,East Sussex,2017
832400_351,1,2014-11-01,WROM,O027199183706,,,East Sussex,2017
160507_351,1,2013-04-01,WBRI,X009771587913,,,East Sussex,2017
149716_351,1,2010-10-01,BOTH,P098141500485,,,East Sussex,2017
654231_351,2,2013-07-01,BAFR,C013269756261,,,East Sussex,2017
541341_351,1,2002-06-01,AIND,D036473514111,,,East Sussex,2017
509411_351,1,2014-08-01,ABAN,F023374764524,,,East Sussex,2017
65887_351,1,2004-07-01,WBRI,X010422147232,,,East Sussex,2017
856832_351,2,2008-06-01,MWAS,W091237037941,,,East Sussex,2017
588329_351,2,2004-11-01,WOTH,F070523079648,,,East Sussex,2017
517524_351,2,2003-11-01,WOTH,Z044997715618,,,East Sussex,2017
675951_351,1,2004-09-01,CHNE,F050766735967,,,East Sussex,2017
971060_351,2,2005-07-01,BCRB,I089467748244,,,East Sussex,2017
147787_351,2,2002-02-01,MWBC,O005967138136,,,East Sussex,2017
261814_351,1,2013-07-01,ABAN,H016726316593,,,East Sussex,2017
517505_351,2,2002-04-01,CHNE,S037416833178,,,East Sussex,2017
230148_351,2,2008-04-01,BAFR,R036606115451,,,East Sussex,2017
830110_351,1,2014-10-01,WOTH,F030451316873,,,East Sussex,2017
297516_351,1,2008-07-01,WIRT,W056339268069,,,East Sussex,2017
756688_351,1,2007-09-01,AOTH,V083866803261,,,East Sussex,2017
518162_351,2,2007-11-01,APKN,P042796538083,,,East Sussex,2017
878125_351,2,2007-12-01,MWBA,I077113498998,,,East Sussex,2017
59690_351,2,2002-03-01,NOBT,N038184157424,,,East Sussex,2017
741551_351,2,2013-11-01,BCRB,E084377990259,,,East Sussex,2017
766890_351,2,2005-10-01,BAFR,B011009357322,,,East Sussex,2017
414350_351,1,2010-06-01,REFU,L066878717540,,,East Sussex,2017
260308_351,1,2001-11-01,MWBA,N099081931441,,,East Sussex,2017
61058_351,1,2003-01-01,APKN,P099738638836,,,East Sussex,2017
75914_351,2,2014-03-01,ABAN,F054448278142,,,East Sussex,2017
706626_351,1,2002-03-01,BAFR,Q013485162293,,,East Sussex,2017
743766_351,2,2001-06-01,WOTH,U056548652068,,,East Sussex,2017
450994_351,2,2011-07-01,WBRI,W024292170175,,,East Sussex,2017
861631_351,2,2011-03-01,WOTH,U073470744215,,,East Sussex,2017
723382_351,2,2008-08-01,APKN,S012972562997,,,East Sussex,2017
538489_351,1,2007-04-01,WBRI,K059065187814,,,East Sussex,2017
436298_351,1,2005-08-01,APKN,O005314618051,,,East Sussex,2017
466174_351,1,2007-02-01,WROM,E019404078408,,,East Sussex,2017
996314_351,2,2013-11-01,AOTH,X075799639581,,,East Sussex,2017
914255_351,1,2009-01-01,AOTH,E053880837263,,,East Sussex,2017
24818_351,1,2011-11-01,MOTH,X011326227602,,,East Sussex,2017
20765_351,1,2013-01-01,CHNE,I045171028459,,,East Sussex,2017
468663_351,1,2009-03-01,REFU,R020726252980,,,East Sussex,2017
834703_351,1,2002-10-01,WIRI,B010822663599,,,East Sussex,2017
798377_351,1,2010-06-01,BAFR,C012002655954,,,East Sussex,2017
600588_351,1,2002-01-01,OOTH,N046670332225,,,East Sussex,2017
388516_351,2,2011-07-01,WOTH,U039828282870,,,East Sussex,2017
424680_351,2,2004-08-01,BOTH,V062494068365,,,East Sussex,2017
5347_351,2,2014-03-01,BCRB,M057381146461,,,East Sussex,2017
360662_351,2,2012-01-01,AIND,Y071936359818,,,East Sussex,2017
725736_351,2,2012-09-01,MWBC,G034771014487,,,East Sussex,2017
320969_351,1,2010-12-01,ABAN,W075804726337,,,East Sussex,2017
401785_351,2,2002-01-01,WROM,Y058658408245,,,East Sussex,2017
455357_351,1,2014-06-01,WOTH,M038227995471,,,East Sussex,2017
154684_351,2,2003-03-01,ABAN,U043412537119,,,East Sussex,2017
872809_351,1,2004-05-01,ABAN,L048795611066,,,East Sussex,2017
368285_351,1,2005-08-01,CHNE,U084287424459,,,East Sussex,2017
2688_351,1,2006-12-01,APKN,V096581821346,,,East Sussex,2017
74595_351,2,2009-07-01,MWBA,R090899437278,,,East Sussex,2017
618035_351,2,2004-04-01,ABAN,R033265762734,,,East Sussex,2017
221661_351,1,2002-02-01,BCRB,D077754874851,,,East Sussex,2017
277721_351,1,2008-04-01,AIND,R091784003300,,,East Sussex,2017
27016_351,2,2002-05-01,BCRB,M000052527835,,,East Sussex,2017
556717_351,1,2005-01-01,WOTH,I023578296882,,,East Sussex,2017
645817_351,1,2013-05-01,BCRB,M081311449685,,,East Sussex,2017
653081_351,2,2002-12-01,BCRB,Z021041329329,,,East Sussex,2017
684660_351,2,2008-07-01,CHNE,P048345375589,,,East Sussex,2017
443784_351,2,2012-09-01,APKN,N057931364163,,,East Sussex,2017
197569_351,2,2002-08-01,OOTH,K061964531051,,,East Sussex,2017
406137_351,2,2005-07-01,BAFR,L064994184273,,,East Sussex,2017
800665_351,2,2004-01-01,MWBA,G054500918827,,,East Sussex,2017
843445_351,1,2007-09-01,ABAN,W092118431572,,,East Sussex,2017
758337_351,1,2014-10-01,OOTH,T047498096412,,,East Sussex,2017
957912_351,1,2003-01-01,MOTH,Z059310700325,,,East Sussex,2017
667442_351,1,2001-08-01,NOBT,Y032070583017,,,East Sussex,2017
487756_351,1,2004-04-01,MWBA,J037471392105,,,East Sussex,2017
519445_351,2,2001-11-01,BOTH,N053943115656,,,East Sussex,2017
990582_351,1,2012-04-01,WOTH,T039679166526,,,East Sussex,2017
100640_351,1,2011-10-01,WBRI,R070206446868,,,East Sussex,2017
901660_351,2,2014-06-01,APKN,P076775372683,,,East Sussex,2017
453683_351,2,2013-01-01,REFU,C090769747161,,,East Sussex,2017
264027_351,1,2002-02-01,BOTH,H022286573795,,,East Sussex,2017
635674_351,1,2012-07-01,BCRB,K088084009777,,,East Sussex,2017
863423_351,2,2003-02-01,AIND,D049258303209,,,East Sussex,2017
372715_351,2,2004-04-01,AIND,M048245073292,,,East Sussex,2017
778117_351,1,2004-11-01,BOTH,P053505077073,,,East Sussex,2017
744142_351,2,2012-03-01,MWBA,B014833626418,,,East Sussex,2017
72797_351,2,2013-10-01,BOTH,X024457688242,,,East Sussex,2017
899224_351,1,2009-01-01,APKN,Y095589275280,,,East Sussex,2017
758190_351,2,2012-12-01,WIRT,I026670823721,,,East Sussex,2017
850417_351,1,2008-04-01,AIND,T017594403015,,,East Sussex,2017
126592_351,1,2011-06-01,BOTH,L069439267825,,,East Sussex,2017
36242_351,2,2002-04-01,BOTH,J003835811699,,,East Sussex,2017
10938_351,2,2011-02-01,WROM,N001934639178,,,East Sussex,2017
740894_351,2,2011-09-01,WIRI,N046219167669,,,East Sussex,2017
344080_351,2,2005-09-01,WIRT,W088398533694,,,East Sussex,2017
339403_351,1,2001-10-01,WOTH,W068158137968,,,East Sussex,2017
206883_351,2,2003-02-01,APKN,X092475862629,,,East Sussex,2017
946064_351,2,2012-01-01,NOBT,B008987450873,,,East Sussex,2017
968733_351,2,2007-01-01,BAFR,P022314465988,,,East Sussex,2017
506478_351,2,2005-04-01,BCRB,I061727678639,,,East Sussex,2017
71406_351,1,2008-05-01,WIRI,G013754800754,,,East Sussex,2017
592931_351,1,2008-07-01,AOTH,H051159491969,,,East Sussex,2017
722040_351,2,2004-11-01,CHNE,B029432419909,,,East Sussex,2017
829758_351,1,2013-05-01,ABAN,C008765143533,,,East Sussex,2017
349749_351,2,2010-06-01,BCRB,O042060266007,,,East Sussex,2017
974239_351,1,2001-10-01,CHNE,P008626822059,,,East Sussex,2017
751691_351,2,2002-10-01,REFU,A082326042138,,,East Sussex,2017
868748_351,2,2004-05-01,APKN,M080621340524,,,East Sussex,2017
767721_351,2,2008-01-01,AIND,Z020481874853,,,East Sussex,2017
695577_351,1,2008-01-01,CHNE,Y018466860022,,,East Sussex,2017
842538_351,1,2005-07-01,ABAN,O093448051219,,,East Sussex,2017
12252_351,1,2003-01-01,WROM,K037273873334,,,East Sussex,2017
431512_351,1,2005-09-01,APKN,J098386129028,,,East Sussex,2017
479416_351,1,2010-07-01,BAFR,X033094933630,,,East Sussex,2017
28834_351,1,2001-12-01,WIRI,F040561373393,,,East Sussex,2017
278915_351,2,2004-08-01,CHNE,J036311753199,,,East Sussex,2017
382587_351,1,2003-05-01,WOTH,P086177452374,,,East Sussex,2017
595693_351,2,2010-02-01,OOTH,Z079182496154,,,East Sussex,2017
773594_351,1,2011-05-01,AOTH,W081841247853,,,East Sussex,2017
58197_351,1,2002-07-01,BAFR,A081993773066,,,East Sussex,2017
838937_351,2,2002-05-01,APKN,P083780647635,,,East Sussex,2017
679627_351,2,2013-10-01,AIND,G037366588077,,,East Sussex,2017
413868_351,2,2014-09-01,WIRI,F049835011958,,,East Sussex,2017
631472_351,2,2008-12-01,MWBC,G042609465569,,,East Sussex,2017
588473_351,1,2006-03-01,CHNE,X059594155466,,,East Sussex,2017
554188_351,2,2005-06-01,ABAN,V013250247664,,,East Sussex,2017
587081_351,1,2002-03-01,MWBA,J050473255483,,,East Sussex,2017
136564_351,2,2009-11-01,OOTH,Q009926701084,,,East Sussex,2017
1263_351,2,2009-05-01,ABAN,H052949689785,,,East Sussex,2017
366643_351,1,2013-12-01,MOTH,U000602615361,,,East Sussex,2017
874483_351,1,2002-07-01,BOTH,M039745620176,,,East Sussex,2017
8019_351,2,2002-12-01,AOTH,Q078863061683,,,East Sussex,2017
917237_351,1,2011-11-01,WBRI,S031893319229,,,East Sussex,2017
270202_351,1,2001-12-01,CHNE,K086460646628,,,East Sussex,2017
109196_351,2,2003-10-01,WIRT,Z062625967106,,,East Sussex,2017
268536_351,2,2007-12-01,WOTH,I071571989794,,,East Sussex,2017
825881_351,2,2006-11-01,MWAS,P062350851022,,,East Sussex,2017
520611_351,2,2011-07-01,MWBC,J034616805476,,,East Sussex,2017
229723_351,2,2008-09-01,OOTH,U058980673364,,,East Sussex,2017
663365_351,1,2002-01-01,WROM,S067404014187,,,East Sussex,2017
557612_351,1,2010-05-01,CHNE,G084228399473,,,East Sussex,2017
252557_351,1,2008-10-01,NOBT,Y029896133224,,,East Sussex,2017
300516_351,1,2009-10-01,AIND,U096328162626,,,East Sussex,2017
507317_351,1,2005-11-01,OOTH,T003558274132,,,East Sussex,2017
577271_351,1,2005-06-01,MWAS,O026833942940,,,East Sussex,2017
467296_351,2,2008-01-01,MWBC,D028848075406,,,East Sussex,2017
653983_351,1,2007-04-01,AOTH,V042025235466,,,East Sussex,2017
214311_351,1,2003-02-01,BAFR,G076146026029,,,East Sussex,2017
875730_351,2,2006-12-01,BAFR,F074676821122,,,East Sussex,2017
118670_351,2,2010-01-01,AOTH,C045887931901,,,East Sussex,2017
506640_351,1,2006-02-01,ABAN,L063816767595,,,East Sussex,2017
692594_351,2,2006-09-01,MWAS,H041580215138,,,East Sussex,2017
386221_351,1,2003-01-01,WIRT,V018550514290,,,East Sussex,2017
16503_351,2,2003-02-01,BCRB,P069430505523,,,East Sussex,2017
549702_351,1,2011-04-01,MWAS,A018950035187,,,East Sussex,2017
928890_351,2,2001-10-01,APKN,C056500632636,,,East Sussex,2017
273119_351,1,2007-09-01,MWAS,P072580747916,,,East Sussex,2017
488409_351,1,2010-07-01,MWBC,R044081888016,,,East Sussex,2017
242363_351,2,2003-01-01,BCRB,C090324173811,,,East Sussex,2017
19271_351,2,2001-09-01,WOTH,F095932123576,,,East Sussex,2017
891268_351,1,2014-02-01,AOTH,Y067377929673,,,East Sussex,2017
730304_351,2,2012-05-01,MWAS,X000827997906,,,East Sussex,2017
933043_351,1,2009-05-01,MOTH,M052187244407,,,East Sussex,2017
548297_351,1,2005-05-01,WOTH,A081182707156,,,East Sussex,2017
784617_351,2,2009-04-01,WOTH,J092143178520,,,East Sussex,2017
582212_351,1,2013-05-01,MWBA,R094924284171,,,East Sussex,2017
740045_351,2,2005-01-01,WROM,Q066998113062,,,East Sussex,2017
978411_351,1,2011-05-01,WROM,G084899888152,,,East Sussex,2017
589748_351,1,2009-04-01,WROM,H044290405917,,,East Sussex,2017
795905_351,1,2012-03-01,MWBC,W021327995709,,,East Sussex,2017
197453_351,1,2002-12-01,ABAN,H003906645763,,,East Sussex,2017
547380_351,1,2008-02-01,WOTH,J026008915003,,,East Sussex,2017
145458_351,2,2014-05-01,AOTH,T085322783163,,,East Sussex,2017
302646_351,2,2001-10-01,CHNE,P002865957555,,,East Sussex,2017
641077_351,1,2010-05-01,AIND,B015431924855,,,East Sussex,2017
904956_351,1,2011-09-01,ABAN,Y086610774757,,,East Sussex,2017
540993_351,2,2005-09-01,MWBC,G031949099416,,,East Sussex,2017
893192_351,2,2013-04-01,WOTH,C005172836683,,,East Sussex,2017
375295_351,1,2011-07-01,WOTH,J056572291728,,,East Sussex,2017
759770_351,2,2006-05-01,MWBC,M088471745190,,,East Sussex,2017
707962_351,1,2008-07-01,MWBA,D097601267577,,,East Sussex,2017
457033_351,2,2004-05-01,AIND,T003781559827,,,East Sussex,2017
206200_351,1,2008-11-01,BOTH,X040478826619,,,East Sussex,2017
236044_351,2,2012-05-01,WIRT,I042853276939,,,East Sussex,2017
885189_351,1,2002-06-01,MWAS,A096253083250,,,East Sussex,2017
153173_351,1,2014-10-01,WOTH,N045742771378,,,East Sussex,2017
703307_351,1,2005-10-01,BCRB,S084862438468,,,East Sussex,2017
850699_351,2,2010-03-01,WIRI,L062650866496,,,East Sussex,2017
582899_351,2,2001-05-01,BAFR,B003768505380,,,East Sussex,2017
969697_351,2,2005-12-01,NOBT,T092031830556,,,East Sussex,2017
399462_351,1,2009-01-01,REFU,J040197771825,,,East Sussex,2017
704084_351,2,2008-05-01,CHNE,O081236231324,,,East Sussex,2017
45688_351,2,2011-11-01,WOTH,I040495890276,,,East Sussex,2017
612198_351,1,2008-02-01,APKN,Z069999599965,,,East Sussex,2017
554195_351,1,2006-11-01,AOTH,U011864298243,,,East Sussex,2017
599111_351,1,2003-07-01,MWAS,E068988750418,,,East Sussex,2017
215448_351,2,2003-03-01,AIND,F024720925535,,,East Sussex,2017
357763_351,2,2005-02-01,AOTH,R012769593535,,,East Sussex,2017
901381_351,1,2006-09-01,REFU,R077814385292,,,East Sussex,2017
796468_351,2,2008-09-01,APKN,R061963261887,,,East Sussex,2017
325037_351,1,2006-07-01,MOTH,Y097779192573,,,East Sussex,2017
553836_351,1,2010-01-01,WROM,O077602155475,,,East Sussex,2017
873543_351,1,2004-05-01,CHNE,I063671760738,,,East Sussex,2017
599492_351,2,2007-03-01,BAFR,V017964235287,,,East Sussex,2017
979062_351,1,2011-07-01,OOTH,P087834822975,,,East Sussex,2017
398549_351,2,2002-12-01,WIRT,T079055922401,,,East Sussex,2017
639184_351,1,2002-09-01,BAFR,E043429728808,,,East Sussex,2017
376788_351,1,2012-10-01,BCRB,A014255321850,,,East Sussex,2017
930352_351,1,2006-10-01,WIRI,Q007891460818,,,East Sussex,2017
636052_351,2,2003-01-01,WROM,W048529546848,,,East Sussex,2017
271842_351,2,2006-10-01,MOTH,A047367570484,,,East Sussex,2017
812203_351,2,2010-06-01,AOTH,C080531513256,,,East Sussex,2017
820969_351,1,2006-09-01,CHNE,D053552502491,,,East Sussex,2017
339013_351,1,2007-01-01,NOBT,M060122399145,,,East Sussex,2017
503671_351,1,2014-04-01,MWAS,D099603464809,,,East Sussex,2017
764628_351,1,2001-12-01,AOTH,A021643010468,,,East Sussex,2017
584166_351,1,2004-11-01,BAFR,D077015110282,,,East Sussex,2017
265854_351,2,2001-08-01,WOTH,N076750885999,,,East Sussex,2017
410067_351,2,2001-08-01,WROM,C011484425383,,,East Sussex,2017
781490_351,2,2011-01-01,APKN,B013953153031,,,East Sussex,2017
699196_351,2,2002-10-01,MWBC,C058575333777,,,East Sussex,2017
586264_351,2,2002-06-01,AIND,B070379286782,,,East Sussex,2017
371388_351,1,2012-09-01,MWAS,E092793862463,,,East Sussex,2017
380537_351,1,2003-05-01,OOTH,Y065854137149,,,East Sussex,2017
23757_351,1,2013-11-01,CHNE,G085001233361,,,East Sussex,2017
564633_351,2,2008-06-01,WOTH,B049871129996,,,East Sussex,2017
880635_351,1,2005-02-01,BAFR,S057253469139,,,East Sussex,2017
561136_351,2,2013-03-01,WOTH,C016186222424,,,East Sussex,2017
145232_351,2,2011-06-01,CHNE,P028547566705,,,East Sussex,2017
412276_351,1,2007-04-01,APKN,P031082183706,,,East Sussex,2017
